Name,Exclusive secs,Inclusive secs,% Exclusive,% Inclusive,Module,Source File,Source Line
"mainCRTStartup",0,31.405,0,4.17495,"fortress","[unknown]",0
"__tmainCRTStartup",0,31.405,0,4.17495,"fortress","[unknown]",0
"App::handle_events",0,1.57349,0,0.209178,"fortress","[unknown]",0
"App::update",0,3.00582,0,0.39959,"fortress","[unknown]",0
"App::post_update",0,0.111979,0,0.0148864,"fortress","[unknown]",0
"App::render",0,26.5863,0,3.53436,"fortress","[unknown]",0
"App::clean",0,0.0528625,0,0.00702748,"fortress","[unknown]",0
"App::change_scene",0,0.0069807,0,0.000928006,"fortress","[unknown]",0
"App::set_fps",0.0069829,0.0069829,0.000928299,0.000928299,"fortress","[unknown]",0
"GUI::draw",0,0.340482,0,0.0452633,"fortress","[unknown]",0
"Atlas::draw_text",0.0069839,13.4927,0.000928432,1.7937,"fortress","[unknown]",0
"Atlas::draw_from_sheet",0,0.0069808,0,0.00092802,"fortress","[unknown]",0
"Atlas::draw_texture_from_sheet",0.648524,2.09881,0.0862141,0.279013,"fortress","[unknown]",0
"Atlas::draw_pixel",0.0676631,4.87955,0.00899506,0.648682,"fortress","[unknown]",0
"Atlas::draw_line",0,0.0211125,0,0.00280667,"fortress","[unknown]",0
"Atlas::draw_rect",0.0209423,0.688168,0.00278405,0.0914842,"fortress","[unknown]",0
"Camera::move",0,0.0059845,0,0.000795573,"fortress","[unknown]",0
"Camera::update",0,0.0848066,0,0.0112741,"fortress","[unknown]",0
"Camera::get_pos",0.0979033,0.0979033,0.0130152,0.0130152,"fortress","[unknown]",0
"Cooldown::update",0,0.0069846,0,0.000928525,"fortress","[unknown]",0
"Cooldown::set_state",0,0.0150773,0,0.00200436,"fortress","[unknown]",0
"Dirt::update",0,0.006983,0,0.000928312,"fortress","[unknown]",0
"Dirt::draw",0,0.0270974,0,0.0036023,"fortress","[unknown]",0
"Entity::set_animation",0,0.0070225,0,0.000933563,"fortress","[unknown]",0
"Entity::get_collision_box",0,0.0059845,0,0.000795573,"fortress","[unknown]",0
"Entity::get_interaction_box",0.054883,0.0818125,0.00729608,0.0108761,"fortress","[unknown]",0
"Entity::is_colliding",0.0139665,0.0139665,0.00185669,0.00185669,"fortress","[unknown]",0
"Entity::update",0,0.0139676,0,0.00185684,"fortress","[unknown]",0
"Entity::get_current_life",0.0072406,0.0072406,0.000962557,0.000962557,"fortress","[unknown]",0
"F_Debug::log",0,0.0848066,0,0.0112741,"fortress","[unknown]",0
"F_Debug::write_to_file",0,0.0069751,0,0.000927262,"fortress","[unknown]",0
"Fort::party",0.0069758,0.0069758,0.000927355,0.000927355,"fortress","[unknown]",0
"GameScene::load_assets",0,0.0069807,0,0.000928006,"fortress","[unknown]",0
"GameScene::init",0,0.0069807,0,0.000928006,"fortress","[unknown]",0
"GameScene::update",0.0069746,0.234565,0.000927196,0.0311828,"fortress","[unknown]",0
"GameScene::post_update",0,0.111979,0,0.0148864,"fortress","[unknown]",0
"GameScene::draw",0,18.7488,0,2.49245,"fortress","[unknown]",0
"std::_Function_handler<void (), GameScene::draw()::{lambda()#1}>::_M_manager",0,0.0069807,0,0.000928006,"fortress","[unknown]",0
"std::_Function_base::_Base_manager<GameScene::draw()::{lambda()#1}>::_M_manager",0,0.0069807,0,0.000928006,"fortress","[unknown]",0
"std::_Function_base::_Base_manager<GameScene::draw()::{lambda()#1}>::_M_destroy",0.0069807,0.0069807,0.000928006,0.000928006,"fortress","[unknown]",0
"GarbageCollector::update()::{lambda(Entity*)#1}::operator()",0,0.0072406,0,0.000962557,"fortress","[unknown]",0
"GarbageCollector::update",0,0.021188,0,0.00281671,"fortress","[unknown]",0
"std::function<bool (Entity*)>::function<GarbageCollector::update()::{lambda(Entity*)#1}&, void>",0.0069716,0.0069716,0.000926797,0.000926797,"fortress","[unknown]",0
