Name,Exclusive secs,Inclusive secs,% Exclusive,% Inclusive,Module,Source File,Source Line
"mainCRTStartup",0,30.6635,0,4.96822,"fortress","[unknown]",0
"__tmainCRTStartup",0,30.6635,0,4.96822,"fortress","[unknown]",0
"App::handle_events",0.0059833,0.211712,0.000969436,0.0343023,"fortress","[unknown]",0
"App::update",0,2.37389,0,0.384627,"fortress","[unknown]",0
"App::post_update",0.0050362,0.0968088,0.000815984,0.0156853,"fortress","[unknown]",0
"App::render",0,27.8664,0,4.51502,"fortress","[unknown]",0
"App::clean",0,0.0917559,0,0.0148666,"fortress","[unknown]",0
"App::change_scene",0,0.0059835,0,0.000969469,"fortress","[unknown]",0
"App::get_window_size",0.006971,0.006971,0.00112947,0.00112947,"fortress","[unknown]",0
"GUI::event",0,0.0099764,0,0.00161641,"fortress","[unknown]",0
"GUI::draw",0.0069489,0.424743,0.00112589,0.0688184,"fortress","[unknown]",0
"Atlas::draw_text",0.0059821,14.5317,0.000969242,2.35448,"fortress","[unknown]",0
"Atlas::draw_from_sheet",0,0.0049886,0,0.000808271,"fortress","[unknown]",0
"Atlas::draw_texture_from_sheet",0.655182,2.13971,0.106155,0.346684,"fortress","[unknown]",0
"Atlas::draw_pixel",0.0607475,5.19571,0.00984253,0.841828,"fortress","[unknown]",0
"Atlas::draw_line",0,0.0100092,0,0.00162173,"fortress","[unknown]",0
"Atlas::draw_rect",0.017966,0.792023,0.00291092,0.128326,"fortress","[unknown]",0
"Camera::update",0,0.0708257,0,0.0114754,"fortress","[unknown]",0
"Camera::get_pos",0.0877679,0.0877679,0.0142205,0.0142205,"fortress","[unknown]",0
"Cooldown::update",0,0.0109382,0,0.00177225,"fortress","[unknown]",0
"Dirt::update",0,0.0058098,0,0.000941325,"fortress","[unknown]",0
"Dirt::draw",0,0.0333533,0,0.00540402,"fortress","[unknown]",0
"Entity::set_animation",0,0.0049877,0,0.000808126,"fortress","[unknown]",0
"Entity::get_pos",0.0049291,0.0049291,0.000798631,0.000798631,"fortress","[unknown]",0
"Entity::get_interaction_box",0.0399391,0.0449259,0.00647108,0.00727906,"fortress","[unknown]",0
"Entity::d20",0,0.0059711,0,0.00096746,"fortress","[unknown]",0
"Entity::is_colliding",0.0099698,0.0099698,0.00161534,0.00161534,"fortress","[unknown]",0
"Entity::update",0,0.0058098,0,0.000941325,"fortress","[unknown]",0
"EntityTooltips::draw",0,0.0059025,0,0.000956345,"fortress","[unknown]",0
"F_Debug::log",0,0.0708257,0,0.0114754,"fortress","[unknown]",0
"F_Debug::log_group",0,0.0059711,0,0.00096746,"fortress","[unknown]",0
"F_Debug::error",0,0.0059835,0,0.000969469,"fortress","[unknown]",0
"GameScene::init",0,0.0059835,0,0.000969469,"fortress","[unknown]",0
"GameScene::update",0.0049983,0.263403,0.000809843,0.0426775,"fortress","[unknown]",0
"GameScene::post_update",0,0.0917726,0,0.0148693,"fortress","[unknown]",0
"GameScene::draw",0.0049543,19.3861,0.000802714,3.141,"fortress","[unknown]",0
"GarbageCollector::update",0,0.0209469,0,0.00339389,"fortress","[unknown]",0
"std::forward<GarbageCollector::update()::{lambda(Entity*)#1}&>",0.0059926,0.0059926,0.000970943,0.000970943,"fortress","[unknown]",0
"std::_Function_handler<bool (Entity*), GarbageCollector::update()::{lambda(Entity*)#1}>::_M_invoke",0,0.0059926,0,0.000970943,"fortress","[unknown]",0
"std::__invoke_r<bool, GarbageCollector::update()::{lambda(Entity*)#1}&, Entity*>",0,0.0059926,0,0.000970943,"fortress","[unknown]",0
"Gizmos::draw_area",0.0059919,0.0598174,0.00097083,0.00969184,"fortress","[unknown]",0
"Gizmos::draw_rect",0.0109691,0.802992,0.00177725,0.130104,"fortress","[unknown]",0
"Hero::update",0.0279278,0.165792,0.00452497,0.0268622,"fortress","[unknown]",0
"Hero::animation_manager",0,0.0049877,0,0.000808126,"fortress","[unknown]",0
"ImGuiIO::AddKeyAnalogEvent",0.0049884,0.0049884,0.000808239,0.000808239,"fortress","[unknown]",0
"ImGuiIO::AddKeyEvent",0,0.0049884,0,0.000808239,"fortress","[unknown]",0
"ImGuiIO::AddMousePosEvent",0.0059838,0.0059838,0.000969517,0.000969517,"fortress","[unknown]",0
"ImHashStr",0.0129614,0.0129614,0.00210005,0.00210005,"fortress","[unknown]",0
"ImGui::RenderTextClippedEx",0,0.0268954,0,0.00435769,"fortress","[unknown]",0
"ImGui::RenderTextClipped",0,0.0268954,0,0.00435769,"fortress","[unknown]",0
"ImGui::GetCurrentContext",0.004988,0.004988,0.000808174,0.000808174,"fortress","[unknown]",0
"ImGui::UpdateHoveredWindowAndCaptureFlags",0,0.0059777,0,0.000968529,"fortress","[unknown]",0
"ImGui::NewFrame",0.0109659,0.288982,0.00177674,0.046822,"fortress","[unknown]",0
"ImGui::PushClipRect",0,0.0129384,0,0.00209633,"fortress","[unknown]",0
"ImGui::PopClipRect",0,0.0059868,0,0.000970003,"fortress","[unknown]",0
"ImGui::EndFrame",0.0049988,0.0229851,0.000809924,0.00372413,"fortress","[unknown]",0
"ImGui::Render",0,0.0229851,0,0.00372413,"fortress","[unknown]",0
